HVTypeName,Date,Value
Ann_AcctsReceivable,2015-09-30,35889.00
Ann_AcctsReceivable,2014-09-30,31537.00
Ann_AcctsReceivable,2013-09-30,24094.00
Ann_AcctsReceivable,2012-09-30,21275.00
Ann_AcctsReceivable,2011-09-30,13731.00
Ann_AcctsReceivable,2010-09-30,5510.00
Ann_AcctsReceivable,2009-09-30,3361.00
Ann_AcctsReceivable,2008-09-30,2422.00
Ann_Assets,2015-09-30,290479.00
Ann_Assets,2014-09-30,231839.00
Ann_Assets,2013-09-30,207000.00
Ann_Assets,2012-09-30,176064.00
Ann_Assets,2011-09-30,116371.00
Ann_Assets,2010-09-30,75183.00
Ann_Assets,2009-09-30,47501.00
Ann_Assets,2008-09-30,36171.00
Ann_AssetsCur,2015-09-30,89378.00
Ann_AssetsCur,2014-09-30,68531.00
Ann_AssetsCur,2013-09-30,73286.00
Ann_AssetsCur,2012-09-30,57653.00
Ann_AssetsCur,2011-09-30,44988.00
Ann_AssetsCur,2010-09-30,41678.00
Ann_AssetsCur,2009-09-30,31555.00
Ann_AssetsCur,2008-09-30,30006.00
Ann_BVPS,2015-09-30,22.53
Ann_BVPS,2014-09-30,20.62
Ann_BVPS,2013-09-30,19.60
Ann_BVPS,2012-09-30,16.99
Ann_BVPS,2011-09-30,11.78
Ann_BVPS,2010-09-30,7.45
Ann_BVPS,2009-09-30,5.02
Ann_BVPS,2008-09-30,3.39
Ann_BVPS,2007-09-30,2.20
Ann_BVPS,2006-09-30,1.56
Ann_CapExp,2015-09-30,11247.00
Ann_CapExp,2014-09-30,9571.00
Ann_CapExp,2013-09-30,8165.00
Ann_CapExp,2012-09-30,8295.00
Ann_CapExp,2011-09-30,4260.00
Ann_CapExp,2010-09-30,2005.00
Ann_CapExp,2009-09-30,1144.00
Ann_CapExp,2008-09-30,1091.00
Ann_CapExp,2007-09-30,986.00
Ann_CapExp,2006-09-30,657.00
Ann_Cash,2015-09-30,21120.00
Ann_Cash,2014-09-30,13844.00
Ann_Cash,2013-09-30,14259.00
Ann_Cash,2012-09-30,10746.00
Ann_Cash,2011-09-30,9815.00
Ann_Cash,2010-09-30,11261.00
Ann_Cash,2009-09-30,5263.00
Ann_Cash,2008-09-30,11875.00
Ann_CashDiv,2015-09-30,11561.00
Ann_CashDiv,2014-09-30,11126.00
Ann_CashDiv,2013-09-30,10564.00
Ann_CashDiv,2012-09-30,2488.00
Ann_CashDiv,2011-09-30,0.00
Ann_CashDiv,2010-09-30,0.00
Ann_CashDiv,2009-09-30,0.00
Ann_CashDiv,2008-09-30,0.00
Ann_CashDiv,2007-09-30,0.00
Ann_CashDiv,2006-09-30,0.00
Ann_CashFromOA,2015-09-30,81266.00
Ann_CashFromOA,2014-09-30,59713.00
Ann_CashFromOA,2013-09-30,53666.00
Ann_CashFromOA,2012-09-30,50856.00
Ann_CashFromOA,2011-09-30,37529.00
Ann_CashFromOA,2010-09-30,18595.00
Ann_CashFromOA,2009-09-30,10159.00
Ann_CashFromOA,2008-09-30,9596.00
Ann_CashFromOA,2007-09-30,5470.00
Ann_CashFromOA,2006-09-30,2220.00
Ann_EBIT,2013-09-30,50160.00
Ann_EBIT,2012-09-30,55760.00
Ann_EBIT,2011-09-30,34210.00
Ann_EBIT,2010-09-30,18540.00
Ann_EBIT,2009-09-30,12070.00
Ann_EBIT,2008-09-30,6900.00
Ann_EBIT,2007-09-30,5010.00
Ann_EBIT,2006-09-30,2820.00
Ann_EBIT,2005-09-30,1820.00
Ann_EBIT,2004-09-30,383.00
Ann_EPS,2015-09-30,9.22
Ann_EPS,2014-09-30,6.45
Ann_EPS,2013-09-30,5.68
Ann_EPS,2012-09-30,6.31
Ann_EPS,2011-09-30,3.95
Ann_EPS,2010-09-30,2.16
Ann_EPS,2009-09-30,1.30
Ann_EPS,2008-09-30,0.77
Ann_EPS,2007-09-30,0.56
Ann_EPS,2006-09-30,0.32
Ann_Equity,2015-09-30,119355.00
Ann_Equity,2014-09-30,111547.00
Ann_Equity,2013-09-30,123549.00
Ann_Equity,2012-09-30,118210.00
Ann_Equity,2011-09-30,76615.00
Ann_Equity,2010-09-30,47791.00
Ann_Equity,2009-09-30,31640.00
Ann_Equity,2008-09-30,22297.00
Ann_Equity,2007-09-30,14532.00
Ann_Equity,2006-09-30,9984.00
Ann_GrossProfit,2015-09-30,93626.00
Ann_GrossProfit,2014-09-30,70537.00
Ann_GrossProfit,2013-09-30,64304.00
Ann_GrossProfit,2012-09-30,68662.00
Ann_GrossProfit,2011-09-30,43818.00
Ann_GrossProfit,2010-09-30,25684.00
Ann_GrossProfit,2009-09-30,17222.00
Ann_GrossProfit,2008-09-30,13197.00
Ann_GrossProfit,2007-09-30,8152.00
Ann_GrossProfit,2006-09-30,5598.00
Ann_IncomeAfterTax,2012-09-30,41733.00
Ann_IncomeAfterTax,2011-09-30,25922.00
Ann_IncomeAfterTax,2010-09-30,14013.00
Ann_IncomeAfterTax,2009-09-30,8235.00
Ann_IncomeAfterTax,2008-09-30,6119.00
Ann_IncomeBEI,2012-09-30,41733.00
Ann_IncomeBEI,2011-09-30,25922.00
Ann_IncomeBEI,2010-09-30,14013.00
Ann_IncomeBEI,2009-09-30,8235.00
Ann_IncomeBEI,2008-09-30,6119.00
Ann_IncomeBeforeTax,2015-09-30,72515.00
Ann_IncomeBeforeTax,2014-09-30,53483.00
Ann_IncomeBeforeTax,2013-09-30,50155.00
Ann_IncomeBeforeTax,2012-09-30,55763.00
Ann_IncomeBeforeTax,2011-09-30,34205.00
Ann_IncomeBeforeTax,2010-09-30,18540.00
Ann_IncomeBeforeTax,2009-09-30,12066.00
Ann_IncomeBeforeTax,2008-09-30,8947.00
Ann_IncomeNet,2015-09-30,53394.00
Ann_IncomeNet,2014-09-30,39510.00
Ann_IncomeNet,2013-09-30,37037.00
Ann_IncomeNet,2012-09-30,41733.00
Ann_IncomeNet,2011-09-30,25922.00
Ann_IncomeNet,2010-09-30,14013.00
Ann_IncomeNet,2009-09-30,8235.00
Ann_IncomeNet,2008-09-30,6119.00
Ann_IncomeOp,2015-09-30,53394.00
Ann_IncomeOp,2014-09-30,39510.00
Ann_IncomeOp,2013-09-30,37037.00
