HVTypeName,Date,Value
Ann_AcctsReceivable,2015-12-31,13909.00
Ann_AcctsReceivable,2014-12-31,10849.00
Ann_AcctsReceivable,2013-12-31,10916.00
Ann_AcctsReceivable,2012-12-31,9729.00
Ann_AcctsReceivable,2011-12-31,6387.00
Ann_AcctsReceivable,2010-12-31,4252.00
Ann_AcctsReceivable,2009-12-31,3178.00
Ann_AcctsReceivable,2008-12-31,2642.20
Ann_Assets,2015-12-31,147461.00
Ann_Assets,2014-12-31,129187.00
Ann_Assets,2013-12-31,110920.00
Ann_Assets,2012-12-31,93798.00
Ann_Assets,2011-12-31,72574.00
Ann_Assets,2010-12-31,57851.00
Ann_Assets,2009-12-31,40497.00
Ann_Assets,2008-12-31,31767.60
Ann_AssetsCur,2015-12-31,90114.00
Ann_AssetsCur,2014-12-31,78656.00
Ann_AssetsCur,2013-12-31,72886.00
Ann_AssetsCur,2012-12-31,60454.00
Ann_AssetsCur,2011-12-31,52758.00
Ann_AssetsCur,2010-12-31,41562.00
Ann_AssetsCur,2009-12-31,29167.00
Ann_AssetsCur,2008-12-31,20178.20
Ann_BVPS,2015-12-31,169.12
Ann_BVPS,2014-12-31,145.08
Ann_BVPS,2013-12-31,123.68
Ann_BVPS,2012-12-31,108.77
Ann_BVPS,2011-12-31,84.46
Ann_BVPS,2010-12-31,72.03
Ann_BVPS,2009-12-31,56.71
Ann_BVPS,2008-12-31,44.90
Ann_BVPS,2007-12-31,36.30
Ann_BVPS,2006-12-31,23.54
Ann_CapExp,2015-12-31,9915.00
Ann_CapExp,2014-12-31,10959.00
Ann_CapExp,2013-12-31,7358.00
Ann_CapExp,2012-12-31,3273.00
Ann_CapExp,2011-12-31,3438.00
Ann_CapExp,2010-12-31,4018.00
Ann_CapExp,2009-12-31,810.00
Ann_CapExp,2008-12-31,2358.50
Ann_CapExp,2007-12-31,2402.84
Ann_CapExp,2006-12-31,1902.80
Ann_Cash,2015-12-31,16549.00
Ann_Cash,2014-12-31,18347.00
Ann_Cash,2013-12-31,18898.00
Ann_Cash,2012-12-31,14778.00
Ann_Cash,2011-12-31,9983.00
Ann_Cash,2010-12-31,13630.00
Ann_Cash,2009-12-31,10198.00
Ann_Cash,2008-12-31,8656.70
Ann_CashDiv,2015-12-31,47.00
