HVTypeName,Date,Value
Ann_AcctsReceivable,2015-06-30,19823.00
Ann_AcctsReceivable,2014-06-30,21485.00
Ann_AcctsReceivable,2013-06-30,19118.00
Ann_AcctsReceivable,2012-06-30,17815.00
Ann_AcctsReceivable,2011-06-30,14987.00
Ann_AcctsReceivable,2010-06-30,13014.00
Ann_AcctsReceivable,2009-06-30,11192.00
Ann_AcctsReceivable,2008-06-30,13589.00
Ann_Assets,2015-06-30,176223.00
Ann_Assets,2014-06-30,172384.00
Ann_Assets,2013-06-30,142431.00
Ann_Assets,2012-06-30,121271.00
Ann_Assets,2011-06-30,108704.00
Ann_Assets,2010-06-30,86113.00
Ann_Assets,2009-06-30,77888.00
Ann_Assets,2008-06-30,72793.00
Ann_AssetsCur,2015-06-30,124712.00
Ann_AssetsCur,2014-06-30,114246.00
Ann_AssetsCur,2013-06-30,101466.00
Ann_AssetsCur,2012-06-30,85084.00
Ann_AssetsCur,2011-06-30,74918.00
Ann_AssetsCur,2010-06-30,55676.00
Ann_AssetsCur,2009-06-30,49280.00
Ann_AssetsCur,2008-06-30,43242.00
Ann_BVPS,2015-06-30,11.23
Ann_BVPS,2014-06-30,10.61
Ann_BVPS,2013-06-30,9.21
Ann_BVPS,2012-06-30,8.19
Ann_BVPS,2011-06-30,6.82
Ann_BVPS,2010-06-30,5.33
Ann_BVPS,2009-06-30,4.44
Ann_BVPS,2008-06-30,3.97
Ann_BVPS,2007-06-30,3.73
Ann_BVPS,2006-06-30,3.99
Ann_CapExp,2015-06-30,5944.00
Ann_CapExp,2014-06-30,5485.00
Ann_CapExp,2013-06-30,4257.00
Ann_CapExp,2012-06-30,2305.00
Ann_CapExp,2011-06-30,2355.00
Ann_CapExp,2010-06-30,1977.00
Ann_CapExp,2009-06-30,3119.00
Ann_CapExp,2008-06-30,3182.00
Ann_CapExp,2007-06-30,2264.00
Ann_CapExp,2006-06-30,1578.00
Ann_Cash,2015-06-30,5595.00
Ann_Cash,2014-06-30,8669.00
Ann_Cash,2013-06-30,3804.00
Ann_Cash,2012-06-30,6938.00
Ann_Cash,2011-06-30,9610.00
Ann_Cash,2010-06-30,5505.00
Ann_Cash,2009-06-30,6076.00
Ann_Cash,2008-06-30,23662.00
Ann_CashDiv,2015-06-30,9882.00
Ann_CashDiv,2014-06-30,8879.00
Ann_CashDiv,2013-06-30,7455.00
Ann_CashDiv,2012-06-30,6385.00
Ann_CashDiv,2011-06-30,5180.00
Ann_CashDiv,2010-06-30,4578.00
Ann_CashDiv,2009-06-30,4468.00
Ann_CashDiv,2008-06-30,4015.00
Ann_CashDiv,2007-06-30,3805.00
Ann_CashDiv,2006-06-30,3545.00
Ann_CashFromOA,2015-06-30,29080.00
Ann_CashFromOA,2014-06-30,32231.00
Ann_CashFromOA,2013-06-30,28833.00
Ann_CashFromOA,2012-06-30,31626.00
Ann_CashFromOA,2011-06-30,26994.00
Ann_CashFromOA,2010-06-30,24073.00
Ann_CashFromOA,2009-06-30,19037.00
Ann_CashFromOA,2008-06-30,21612.00
Ann_CashFromOA,2007-06-30,17796.00
Ann_CashFromOA,2006-06-30,14404.00
Ann_EBIT,2014-06-30,27820.00
Ann_EBIT,2013-06-30,27050.00
Ann_EBIT,2012-06-30,22270.00
Ann_EBIT,2011-06-30,28070.00
Ann_EBIT,2010-06-30,25010.00
Ann_EBIT,2009-06-30,19820.00
Ann_EBIT,2008-06-30,23810.00
Ann_EBIT,2007-06-30,20100.00
Ann_EBIT,2006-06-30,18260.00
Ann_EBIT,2005-06-30,16630.00
Ann_EPS,2015-06-30,1.48
Ann_EPS,2014-06-30,2.63
Ann_EPS,2013-06-30,2.58
Ann_EPS,2012-06-30,2.00
Ann_EPS,2011-06-30,2.69
Ann_EPS,2010-06-30,2.10
Ann_EPS,2009-06-30,1.62
Ann_EPS,2008-06-30,1.87
Ann_EPS,2007-06-30,1.42
Ann_EPS,2006-06-30,1.20
Ann_Equity,2015-06-30,80083.00
Ann_Equity,2014-06-30,89784.00
Ann_Equity,2013-06-30,78944.00
Ann_Equity,2012-06-30,66363.00
Ann_Equity,2011-06-30,57083.00
Ann_Equity,2010-06-30,46175.00
Ann_Equity,2009-06-30,39558.00
Ann_Equity,2008-06-30,36286.00
Ann_Equity,2007-06-30,31097.00
Ann_Equity,2006-06-30,40104.00
Ann_GrossProfit,2015-06-30,60542.00
Ann_GrossProfit,2014-06-30,59755.00
Ann_GrossProfit,2013-06-30,57464.00
Ann_GrossProfit,2012-06-30,56193.00
Ann_GrossProfit,2011-06-30,54366.00
Ann_GrossProfit,2010-06-30,50089.00
Ann_GrossProfit,2009-06-30,46282.00
Ann_GrossProfit,2008-06-30,48822.00
Ann_GrossProfit,2007-06-30,40429.00
Ann_GrossProfit,2006-06-30,36632.00
Ann_IncomeAfterTax,2012-06-30,16978.00
Ann_IncomeAfterTax,2011-06-30,23150.00
Ann_IncomeAfterTax,2010-06-30,18760.00
Ann_IncomeAfterTax,2009-06-30,14569.00
Ann_IncomeAfterTax,2008-06-30,17681.00
Ann_IncomeBEI,2012-06-30,16978.00
Ann_IncomeBEI,2011-06-30,23150.00
Ann_IncomeBEI,2010-06-30,18760.00
Ann_IncomeBEI,2009-06-30,14569.00
Ann_IncomeBEI,2008-06-30,17681.00
Ann_IncomeBeforeTax,2015-06-30,18507.00
Ann_IncomeBeforeTax,2014-06-30,27820.00
Ann_IncomeBeforeTax,2013-06-30,27052.00
Ann_IncomeBeforeTax,2012-06-30,22267.00
Ann_IncomeBeforeTax,2011-06-30,28071.00
Ann_IncomeBeforeTax,2010-06-30,25013.00
Ann_IncomeBeforeTax,2009-06-30,19821.00
Ann_IncomeBeforeTax,2008-06-30,23814.00
Ann_IncomeNet,2015-06-30,12193.00
Ann_IncomeNet,2014-06-30,22074.00
Ann_IncomeNet,2013-06-30,21863.00
Ann_IncomeNet,2012-06-30,16978.00
Ann_IncomeNet,2011-06-30,23150.00
Ann_IncomeNet,2010-06-30,18760.00
Ann_IncomeNet,2009-06-30,14569.00
Ann_IncomeNet,2008-06-30,17681.00
Ann_IncomeOp,2015-06-30,12193.00
Ann_IncomeOp,2014-06-30,22074.00
Ann_IncomeOp,2013-06-30,21863.00
Ann_IncomeOp,2012-06-30,16978.00
Ann_IncomeOp,2011-06-30,27161.00
Ann_IncomeOp,2010-06-30,24098.00
Ann_IncomeOp,2009-06-30,20363.00
Ann_IncomeOp,2008-06-30,22492.00
Ann_Inventory,2015-06-30,2902.00
Ann_Inventory,2014-06-30,2660.00
Ann_Inventory,2013-06-30,1938.00
Ann_Inventory,2012-06-30,1137.00
Ann_Inventory,2011-06-30,1372.00
Ann_Inventory,2010-06-30,740.00
Ann_Inventory,2009-06-30,717.00
Ann_Inventory,2008-06-30,985.00
Ann_LTDebt,2015-06-30,27808.00
Ann_LTDebt,2014-06-30,20645.00
Ann_LTDebt,2013-06-30,12601.00
Ann_LTDebt,2012-06-30,10713.00
Ann_LTDebt,2011-06-30,11921.00
Ann_LTDebt,2010-06-30,4939.00
Ann_LTDebt,2009-06-30,3746.00
Ann_LTDebt,2008-06-30,0.00
Ann_LTDebt,2007-06-30,0.00
Ann_LTDebt,2006-06-30,0.00
Ann_Liab,2015-06-30,96140.00
Ann_Liab,2014-06-30,82600.00
Ann_Liab,2013-06-30,63487.00
Ann_Liab,2012-06-30,54908.00
Ann_Liab,2011-06-30,51621.00
Ann_Liab,2010-06-30,39938.00
Ann_Liab,2009-06-30,38330.00
Ann_Liab,2008-06-30,36507.00
Ann_LiabCur,2015-06-30,49858.00
Ann_LiabCur,2014-06-30,45625.00
Ann_LiabCur,2013-06-30,37417.00
Ann_LiabCur,2012-06-30,32688.00
Ann_LiabCur,2011-06-30,28774.00
Ann_LiabCur,2010-06-30,26147.00
Ann_LiabCur,2009-06-30,27034.00
Ann_LiabCur,2008-06-30,29886.00
Ann_PEAvg,2015-06-30,31.58
Ann_PEAvg,2014-06-30,15.87
Ann_PEAvg,2013-06-30,13.39
Ann_PEAvg,2012-06-30,15.31
Ann_PEAvg,2011-06-30,9.65
Ann_PEAvg,2010-06-30,10.95
Ann_PEAvg,2009-06-30,14.68
Ann_PEAvg,2008-06-30,14.73
Ann_PEAvg,2007-06-30,20.70
Ann_PEAvg,2006-06-30,19.49
Ann_Revenue,2015-06-30,93580.00
Ann_Revenue,2014-06-30,86833.00
Ann_Revenue,2013-06-30,77849.00
Ann_Revenue,2012-06-30,73723.00
Ann_Revenue,2011-06-30,69943.00
Ann_Revenue,2010-06-30,62484.00
Ann_Revenue,2009-06-30,58437.00
Ann_Revenue,2008-06-30,60420.00
Ann_Revenue,2007-06-30,51120.00
Ann_Revenue,2006-06-30,44280.00
Ann_SharesOut,2015-06-30,8254.00
Ann_SharesOut,2014-06-30,8399.00
Ann_SharesOut,2013-06-30,8470.00
Ann_SharesOut,2012-06-30,8506.00
Ann_SharesOut,2011-06-30,8593.00
Ann_SharesOut,2010-06-30,8927.00
Ann_SharesOut,2009-06-30,8996.00
Ann_SharesOut,2008-06-30,9470.00
Ann_SharesOut,2007-06-30,9886.00
Ann_SharesOut,2006-06-30,10531.00
Ann_SharesOutPref,2012-06-30,0.00
Ann_SharesOutPref,2011-06-30,0.00
Ann_SharesOutPref,2010-06-30,0.00
Ann_SharesOutPref,2009-06-30,0.00
Ann_SharesOutPref,2008-06-30,0.00
Ann_ROA,2015-06-30,7.00
Ann_ROA,2014-06-30,14.02
Ann_ROA,2013-06-30,16.58
Ann_ROA,2012-06-30,14.77
Ann_ROA,2011-06-30,23.77
Ann_ROA,2010-06-30,22.88
Ann_ROA,2009-06-30,19.34
Ann_ROA,2008-06-30,26.01
Ann_ROA,2007-06-30,21.19
Ann_ROA,2006-06-30,17.95
Ann_ROE,2015-06-30,14.36
Ann_ROE,2014-06-30,26.17
Ann_ROE,2013-06-30,30.09
Ann_ROE,2012-06-30,27.51
Ann_ROE,2011-06-30,44.84
Ann_ROE,2010-06-30,43.76
Ann_ROE,2009-06-30,38.42
Ann_ROE,2008-06-30,52.48
Ann_ROE,2007-06-30,39.51
Ann_ROE,2006-06-30,28.56
Ann_FCF,2015-06-30,23136.00
Ann_FCF,2014-06-30,26746.00
Ann_FCF,2013-06-30,24576.00
Ann_FCF,2012-06-30,29321.00
Ann_FCF,2011-06-30,24639.00
Ann_FCF,2010-06-30,22096.00
Ann_FCF,2009-06-30,15918.00
Ann_FCF,2008-06-30,18430.00
Ann_FCF,2007-06-30,15532.00
Ann_FCF,2006-06-30,12826.00
Ann_RND,2015-06-30,12046.00
Ann_RND,2014-06-30,11381.00
Ann_RND,2013-06-30,10411.00
Ann_RND,2012-06-30,9811.00
Ann_RND,2011-06-30,9043.00
Ann_RND,2010-06-30,8714.00
Ann_RND,2009-06-30,9010.00
Ann_Cash_End,2014-06-30,8669.00
Ann_Cash_End,2013-06-30,3804.00
Ann_Cash_End,2012-06-30,6938.00
Ann_Cash_End,2011-06-30,9610.00
Ann_Cash_End,2010-06-30,5505.00
Ann_Cash_End,2009-06-30,6076.00
Ann_Cash_Start,2014-06-30,3804.00
Ann_Cash_Start,2013-06-30,6938.00
Ann_Cash_Start,2012-06-30,9610.00
Ann_Cash_Start,2011-06-30,5505.00
Ann_Cash_Start,2010-06-30,6076.00
Ann_Cash_Start,2009-06-30,10339.00
Ann_AcctsPayable,2015-06-30,12385.00
Ann_AcctsPayable,2014-06-30,13569.00
Ann_AcctsPayable,2013-06-30,10182.00
Ann_AcctsPayable,2012-06-30,9653.00
Ann_SalePurchStock,2015-06-30,-13809.00
Ann_SalePurchStock,2014-06-30,-6709.00
Ann_SalePurchStock,2013-06-30,-4429.00
Ann_SalePurchStock,2012-06-30,-3116.00
Ann_FCFShare,2015-06-30,3.16
Ann_FCFShare,2014-06-30,2.69
Ann_FCFShare,2013-06-30,3.24
Ann_FCFShare,2012-06-30,3.24
Ann_FCFShare,2011-06-30,2.87
Ann_FCFShare,2010-06-30,2.48
Ann_FCFShare,2009-06-30,1.77
Ann_FCFShare,2008-06-30,1.95
Ann_FCFShare,2007-06-30,1.44
