HVTypeName,Date,Value
Ann_AcctsReceivable,2015-05-31,6281.00
Ann_AcctsReceivable,2014-05-31,7001.00
Ann_AcctsReceivable,2013-05-31,7023.00
Ann_AcctsReceivable,2012-05-31,7254.00
Ann_AcctsReceivable,2011-05-31,6628.00
Ann_AcctsReceivable,2010-05-31,5585.00
Ann_AcctsReceivable,2009-05-31,4430.00
Ann_AcctsReceivable,2008-05-31,5127.00
Ann_Assets,2015-05-31,110903.00
Ann_Assets,2014-05-31,90266.00
Ann_Assets,2013-05-31,81812.00
Ann_Assets,2012-05-31,78327.00
Ann_Assets,2011-05-31,73535.00
Ann_Assets,2010-05-31,61578.00
Ann_Assets,2009-05-31,47416.00
Ann_Assets,2008-05-31,47268.00
Ann_AssetsCur,2015-05-31,63183.00
Ann_AssetsCur,2014-05-31,48128.00
Ann_AssetsCur,2013-05-31,41692.00
Ann_AssetsCur,2012-05-31,40023.00
Ann_AssetsCur,2011-05-31,39174.00
Ann_AssetsCur,2010-05-31,27004.00
Ann_AssetsCur,2009-05-31,18581.00
Ann_AssetsCur,2008-05-31,18103.00
Ann_BVPS,2016-05-31,11.10
Ann_BVPS,2015-05-31,11.07
Ann_BVPS,2014-05-31,10.02
Ann_BVPS,2013-05-31,9.33
Ann_BVPS,2012-05-31,8.91
Ann_BVPS,2011-05-31,7.85
Ann_BVPS,2010-05-31,5.67
Ann_BVPS,2009-05-31,4.63
Ann_BVPS,2008-05-31,4.04
Ann_BVPS,2007-05-31,3.31
Ann_CapExp,2015-05-31,1391.00
Ann_CapExp,2014-05-31,580.00
Ann_CapExp,2013-05-31,650.00
Ann_CapExp,2012-05-31,648.00
Ann_CapExp,2011-05-31,-105.00
Ann_CapExp,2010-05-31,0.00
Ann_CapExp,2009-05-31,0.00
Ann_CapExp,2008-05-31,243.00
Ann_CapExp,2007-05-31,319.00
Ann_CapExp,2006-05-31,236.00
Ann_Cash,2015-05-31,21716.00
Ann_Cash,2014-05-31,17769.00
Ann_Cash,2013-05-31,14613.00
Ann_Cash,2012-05-31,14955.00
Ann_Cash,2011-05-31,16163.00
Ann_Cash,2010-05-31,9914.00
Ann_Cash,2009-05-31,8995.00
Ann_Cash,2008-05-31,11043.00
Ann_CashDiv,2015-05-31,2451.00
Ann_CashDiv,2014-05-31,2206.00
Ann_CashDiv,2013-05-31,1464.00
Ann_CashDiv,2012-05-31,1368.00
Ann_CashDiv,2011-05-31,1126.00
Ann_CashDiv,2010-05-31,1063.00
Ann_CashDiv,2009-05-31,303.00
Ann_CashDiv,2008-05-31,0.00
Ann_CashDiv,2007-05-31,0.00
Ann_CashDiv,2006-05-31,0.00
Ann_CashFromOA,2015-05-31,14336.00
Ann_CashFromOA,2014-05-31,14921.00
Ann_CashFromOA,2013-05-31,14224.00
Ann_CashFromOA,2012-05-31,13743.00
Ann_CashFromOA,2011-05-31,11214.00
Ann_CashFromOA,2010-05-31,8681.00
Ann_CashFromOA,2009-05-31,8255.00
Ann_CashFromOA,2008-05-31,7402.00
Ann_CashFromOA,2007-05-31,5520.00
Ann_CashFromOA,2006-05-31,4541.00
Ann_EBIT,2014-05-31,13700.00
Ann_EBIT,2013-05-31,13900.00
Ann_EBIT,2012-05-31,12960.00
Ann_EBIT,2011-05-31,11410.00
Ann_EBIT,2010-05-31,8240.00
Ann_EBIT,2009-05-31,7830.00
Ann_EBIT,2008-05-31,7830.00
Ann_EBIT,2007-05-31,5990.00
Ann_EBIT,2006-05-31,4810.00
Ann_EBIT,2005-05-31,4050.00
Ann_EPS,2016-05-31,2.07
Ann_EPS,2015-05-31,2.21
Ann_EPS,2014-05-31,2.38
Ann_EPS,2013-05-31,2.26
Ann_EPS,2012-05-31,1.96
Ann_EPS,2011-05-31,1.67
Ann_EPS,2010-05-31,1.21
Ann_EPS,2009-05-31,1.09
Ann_EPS,2008-05-31,1.06
Ann_EPS,2007-05-31,0.81
Ann_Equity,2015-05-31,48663.00
Ann_Equity,2014-05-31,46878.00
Ann_Equity,2013-05-31,44648.00
Ann_Equity,2012-05-31,43688.00
Ann_Equity,2011-05-31,39776.00
Ann_Equity,2010-05-31,30798.00
Ann_Equity,2009-05-31,25090.00
Ann_Equity,2008-05-31,23025.00
Ann_Equity,2007-05-31,16919.00
Ann_Equity,2006-05-31,15012.00
Ann_GrossProfit,2015-05-31,30694.00
Ann_GrossProfit,2014-05-31,31039.00
Ann_GrossProfit,2013-05-31,29801.00
Ann_GrossProfit,2012-05-31,29126.00
Ann_GrossProfit,2011-05-31,27224.00
Ann_GrossProfit,2010-05-31,21056.00
Ann_GrossProfit,2009-05-31,18458.00
Ann_GrossProfit,2008-05-31,17449.00
Ann_GrossProfit,2007-05-31,13805.00
Ann_GrossProfit,2006-05-31,11145.00
Ann_IncomeAfterTax,2012-05-31,9981.00
Ann_IncomeAfterTax,2011-05-31,8547.00
Ann_IncomeAfterTax,2010-05-31,6135.00
Ann_IncomeAfterTax,2009-05-31,5593.00
Ann_IncomeAfterTax,2008-05-31,5521.00
Ann_IncomeBEI,2012-05-31,9981.00
Ann_IncomeBEI,2011-05-31,8547.00
Ann_IncomeBEI,2010-05-31,6135.00
Ann_IncomeBEI,2009-05-31,5593.00
Ann_IncomeBEI,2008-05-31,5521.00
Ann_IncomeBeforeTax,2015-05-31,12834.00
Ann_IncomeBeforeTax,2014-05-31,13704.00
Ann_IncomeBeforeTax,2013-05-31,13898.00
Ann_IncomeBeforeTax,2012-05-31,12962.00
Ann_IncomeBeforeTax,2011-05-31,11411.00
Ann_IncomeBeforeTax,2010-05-31,8243.00
Ann_IncomeBeforeTax,2009-05-31,7834.00
Ann_IncomeBeforeTax,2008-05-31,7834.00
Ann_IncomeNet,2015-05-31,9938.00
Ann_IncomeNet,2014-05-31,10955.00
Ann_IncomeNet,2013-05-31,10925.00
Ann_IncomeNet,2012-05-31,9981.00
Ann_IncomeNet,2011-05-31,8547.00
Ann_IncomeNet,2010-05-31,6135.00
